# step time temp etotal ke pe enthalpy density lx ly lz vol pxx pyy pzz press
0 0 297.99999999999994316 1944.0306826692913091 681.31182988829982605 1262.7188527809914831 8375.0633732955902815 1.0944575762720132328 19.126903526409201106 19.126903526409201106 19.126903526409201106 6997.3565196055023989 53577.273472268803744 67020.493085395166418 68458.936716170981526 63018.901091278312379
100 0.050000000000000002776 877.3221416682972631 962.25684796159885082 2005.8052138978187031 -1043.5483659362198523 3023.8122958308167654 0.99298281994670123396 19.757427628503435812 19.757427628503435812 19.757427628503435812 7712.4293622418063023 14149.987260232057452 19022.957670038958895 21812.682628430557088 18328.54251956718872
200 0.10000000000000000555 682.50794337071374684 407.33227216678642435 1560.4051537288630698 -1153.0728815620766454 1166.39362256535901 0.91919471645541706017 20.272554262750130505 20.272554262750130505 20.272554262750130505 8331.5425117873292038 8537.2420139723908505 3088.0733810824281136 7115.8601835203153314 6247.0585261917103708
300 0.14999999999999999445 599.89368546703906304 64.637004717156514744 1371.525720080485371 -1306.8887153633288563 371.43873135361246796 0.86988689013903364167 20.648573285419715262 20.648573285419715262 20.648573285419715262 8803.7996015028838883 2219.9454659059942969 4627.7757980724918525 320.85675924249886748 2389.5260077403268042
400 0.2000000000000000111 503.89194626572998459 -157.19440794448087217 1152.0387381754410399 -1309.233146119921912 363.15090472605766081 0.84272751090836917065 20.868052505108870776 20.868052505108870776 20.868052505108870776 9087.5280059431988775 5670.1869683833347153 4686.8216634404579963 1421.5256359652642004 3926.1780892630190465
500 0.25 477.89452312990977134 -318.06369241667198366 1092.6013155947493942 -1410.6650080114213779 -617.67933129041489337 0.82690201440434796254 21.00033848109158896 21.00033848109158896 21.00033848109158896 9261.4478177020864678 -2239.2110060741356392 -1395.4582334311196519 -3020.0687251736635517 -2218.245988226306963
600 0.2999999999999999889 446.26574879754906533 -467.67190205518716084 1020.2890400326529061 -1487.960942087840067 -265.66884667997135239 0.81845788029612132064 21.072312578574081243 21.072312578574081243 21.072312578574081243 9356.9993534521290712 -418.57562839292370427 2387.9831102559796818 2471.4486544983237764 1480.2853787871258646
700 0.35000000000000003331 406.34808346380168587 -580.68608334238876978 929.02602790713547165 -1509.7121112495242414 -761.69423544096162004 0.81279340612485617701 21.121151291568367014 21.121151291568367014 21.121151291568367014 9422.2096279927081923 -3419.7229255046131584 -742.63372412265186995 210.59504120224607959 -1317.2538694750069226
800 0.4000000000000000222 405.63241031721645413 -686.01014181156540417 927.38979776920962195 -1613.3999395807750261 -705.83113109952842024 0.81000685817093431851 21.145343572090638418 21.145343572090638418 21.145343572090638418 9454.6234757218408049 -822.51626946633086845 -1993.9600262274509532 2385.2289310480432505 -143.74912154858071744
900 0.4500000000000000111 380.80029940954779022 -772.60986467036184422 870.61660675413270383 -1643.226471424494548 -858.41289665326280556 0.81048552319695543744 21.141180006196520935 21.141180006196520935 21.141180006196520935 9449.0396652002473274 -1634.2296300996054015 944.42999305216903849 -1178.1292045245738791 -622.64294719067049755
