#$(time) $(c_WaterMSD[1]) $(c_WaterMSD[2]) $(c_WaterMSD[3]) $(c_WaterMSD[4])
0 14.153068531141739683 13.686862916318768058 13.481779461394332031 41.321710908854832667
50 9.4026122939963219238 8.981239409788035033 8.9728481937877067054 27.35669989757207432
100 9.6344838610347807162 6.888040734480107119 8.5754319049679867959 25.09795650048287996
150 9.383807928722864844 7.6682207449627455276 8.1409001522795794159 25.192928825965186235
200 9.3202842658718196844 7.5456705453885613011 7.985457260184517736 24.851412071444901386
250 8.2817608571201422052 8.0168155930902127437 6.611206074912982622 22.909782525123336683
300 7.7639693688588691245 7.3867708663458264695 7.5801684709015688668 22.730908706106262684
350 8.1914779796166907744 7.9014585171192237567 6.9105157325774699828 23.003452229313378297
400 8.278935748356380131 7.6133714244557948447 7.6766920274935364077 23.568999200305707831
450 9.6772509905457138046 7.1640388402842942739 8.9016315857299108671 25.742921416559919834
500 8.7884682754841438879 9.2355857339985689691 7.3933605748184563211 25.417414584301173619
550 10.497226087270098205 9.9063428701744893345 7.1870471758137268736 27.590616133258322407
600 10.286704536890024286 9.0042744176306968029 9.5097993012889201481 28.800778255809643014
650 8.6654260813722459034 9.6184110212312941002 8.6171152470989724748 26.900952349702517807
700 9.4806387035903654237 8.9962709720111497802 8.255763633964837922 26.732673309566347797
750 9.4551881868078968552 9.0515883183416114832 7.7927576094845534271 26.299534114634070647
800 9.5309101347712843477 9.3252058817983254357 8.4084478708774756939 27.264563887447081925
850 8.4605616349318424341 8.957283746077214559 6.6593474770596730039 24.077192858068727332
900 8.9210248824707605309 8.0400424003903854242 8.2422317906552606814 25.203299073516401307
950 9.1276110700574175638 9.5866054501366004814 8.2692241669935793169 26.983440687187595586
1000 9.5376568666445695754 11.010505318192107538 8.5226378289511757202 29.070800013787845728
1050 10.56559539597638242 11.26952641350181672 9.5057115410470522932 31.340833350525254986
1100 11.228380541163518913 10.545547933896946446 8.7503029287039435502 30.524231403764403581
1150 11.942564211615740888 10.758983422011693776 10.713913661186092341 33.415461294813525228
1200 10.632416644141436279 12.805224915794001461 10.50908113384338094 33.946722693778809798
1250 10.208968115644335484 10.679409423334144336 10.764982024109322367 31.653359563087803963
1300 9.8455894104268839584 10.085697916780127059 11.492778910075131193 31.42406623728214754
1350 8.8869616950491465701 10.969081928499257117 11.65646967938631029 31.512513302934706871
1400 8.97444706094744582 10.34393664276172764 11.216527419015200451 30.534911122724366805
1450 8.1365460903996904563 10.105677734976110216 10.849142743674299538 29.091366569050098434
1500 8.0017430080775664436 9.6160946412245227322 10.016944820690797613 27.634782469992888565
1550 7.4484524441324273525 9.118299115046598402 10.418280247900163715 26.985031807079185029
1600 7.8230530963685867007 8.1417513406272252752 10.394002854139687386 26.358807291135502027
1650 8.8261608960428166171 8.5429123500208543618 11.365181761347864509 28.734255007411537264
1700 7.9833462261889236444 8.1650128930841656683 11.462927544027358806 27.611286663300450783
1750 9.4609573839933904793 8.4871242687600751964 12.115962668367146193 30.064044321120604764
1800 8.3396248530622383299 9.3348556887142759564 12.88084485961044301 30.555325401386955519
1850 7.6688608049605564432 9.2650031826526841883 12.890185236945450598 29.82404922455869567
1900 8.2549725162994072036 8.5575862262297093253 14.441605935019879325 31.254164677548995854
1950 8.1907647560837375522 8.3148960459588892036 14.008283178814842529 30.513943980857465732
2000 7.7740000827208746159 8.4365566172115489252 14.824063802152750213 31.034620502085175531
2050 10.782199920138950233 9.6260770612367334564 14.363941651434046776 34.772218632809732242
2100 10.203124519231707268 9.4192944754886802627 14.328854596440358193 33.951273591160742171
2150 9.2820191196563257563 10.362504106642694168 13.919765906563858593 33.56428913286288207
2200 9.1324309030150310207 9.3435487931519833893 13.083496097052835339 31.559475793219849749
2250 8.8831681189974389667 9.5905986530759772535 13.347441002654951703 31.821207774728367923
2300 8.8231434795277756677 11.584405754364169638 11.635680999277363767 32.043230233169303744
2350 8.8410743693615163608 10.80622703905469173 11.045121119960152001 30.69242252837636542
2400 9.4640727599205547449 12.622366161080696756 11.497969884172226429 33.584408805173481483
2450 10.650122032463650967 14.099346066912071151 11.838020175124057687 36.587488274499783358
2500 10.905297447508482733 12.793070264043841178 11.692528075151614075 35.390895786703929105
2550 11.139045352740099659 10.796941806974579947 11.287852982364400489 33.223840142079076543
2600 12.501254163356671611 11.274872780927262639 14.664090082903969758 38.440217027187905785
2650 11.974648122560317631 12.04275443218952546 14.189219562457907386 38.206622117207750478
2700 12.009108241517354898 11.450935963459402345 14.708242759831547275 38.168286964808295636
2750 10.68598387070743172 11.124463443396143347 15.97618009168488129 37.786627405788458134
2800 10.738464487425090965 11.53232032725845535 16.340920245312791081 38.611705059996332068
2850 10.481714357675445015 13.463396848683133911 15.768229124948794251 39.7133403313073714
2900 10.654837101229421847 13.477543307286685703 16.648205212370136508 40.780585620886249387
2950 11.0710538259879403 14.161862019475067953 17.160456794492159105 42.393372639955167358
3000 12.333548361576033514 12.592521250079229844 15.523249373195611156 40.449318984850876291
3050 11.945811024540299528 12.166615084418777926 13.791075354457410285 37.903501463416489514
3100 11.544759307367385759 12.440090129170743083 13.799595008962668885 37.78444444550079595
3150 11.581557647138396305 12.931281979458484344 14.387972970088716451 38.900812596685589995
3200 12.997760535987216812 12.130318890392862485 15.169792346878310241 40.297871773258385986
3250 14.100395217604464904 13.01582602858653992 14.286069272834078348 41.402290519025079618
3300 13.282631853576001291 12.858632134850617845 12.710657216384097623 38.851921204810707877
3350 11.563555640583382811 12.175983149792680038 11.830292466318487854 35.569831256694548927
3400 11.714342498882453825 12.699641755955793698 12.217075121992218456 36.631059376830471308
3450 10.909267167886897099 13.516221031278561782 13.083871124022524057 37.50935932318798649
3500 11.001151729417081526 13.445428249504212559 13.052423496235348921 37.499003475156648335
3550 10.831903984930415064 12.309017370598496655 13.631271058463250156 36.772192413992158322
3600 12.118006780498836505 11.685311577202744715 14.257567897542941182 38.060886255244525955
3650 13.44021942130687286 12.364123428097331114 14.837931732635178506 40.642274582039370046
3700 13.49638415689747184 11.235261745262105748 15.830821882438192105 40.562467784597764364
3750 13.996273173849340665 11.983507647867659429 15.373718565410007031 41.353499387127008902
3800 13.265911149595774887 12.267392543729878085 15.578733291030985697 41.112036984356628011
3850 13.332416190211716867 12.197454681719030134 14.737128942121250574 40.266999814052006457
3900 13.967892116582740769 13.902563764842724936 14.486814697596040347 42.357270579021509604
3950 13.090998663282789494 12.232979899252967471 12.463641475744481113 37.787620038280245183
4000 13.21791305779690795 13.114865199736291501 13.038482348419307755 39.3712606059525001
4050 13.873896950966454256 12.82302587598678123 12.052406699126956724 38.749329526080188657
4100 14.16491265181095649 12.501176415571569223 13.084849896868254504 39.750938964250785546
4150 13.844184512492155648 12.994836230239590336 13.517539732305175804 40.356560475036921787
4200 13.687236112854584746 13.009753268443175145 13.829840141899751416 40.526829523197513083
4250 14.577696112565801556 12.408266563158226958 13.326943567531452928 40.312906243255490324
4300 13.184825485436284964 10.727404006390495184 13.761982356175257891 37.674211848002038039
4350 13.738610171102877189 10.984712133221863795 14.246021232416071101 38.969343536740815637
4400 13.117398414196316025 11.746814776782995793 14.867375567815264148 39.731588758794572414
4450 12.295822864801513319 11.733629872065440836 15.176016851415669251 39.205469588282618076
4500 13.2618495668155294 11.652899979301821531 14.912652011347161007 39.827401557464519044
4550 12.843344362512011614 10.734698596096444945 13.476010987155229159 37.054053945763691047
4600 10.91290019223553287 10.493751374024668621 14.085673519877593307 35.49232508613780368
4650 11.713952890455709976 10.962068871850703999 12.799060522958926711 35.475082285265337134
4700 12.31526549628610212 10.83927188845014733 12.86139208367446507 36.015929468410718073
4750 13.022035956935246404 10.022609963914502984 14.354041247564376604 37.398687168414120663
4800 12.396352309404761627 11.107222093361274418 14.4627417253200381 37.966316128086070592
4850 12.488175899567343308 10.857587513222947351 14.064539507957368514 37.410302920747660949
4900 11.90139442307349249 11.422470118848144338 14.349185968734127883 37.67305051065577004
4950 12.518540097680173062 10.777062674652549745 14.247854196928310344 37.543456969261036704
5000 13.80382063590846542 10.87717380995323424 13.367965232663230779 38.048959678524930439
5050 12.848477989597347104 12.06867567370361094 14.17889551574475604 39.096049179045706978
