#$(time) $(c_NaMSD[1]) $(c_NaMSD[2]) $(c_NaMSD[3]) $(c_NaMSD[4])
0 9.0170689223579320647e-12 9.1319195288839399874e-12 9.4223362522646131895e-12 2.7571324703506480395e-11
0.5 1.8690099276406975951e-05 1.9668619681162617365e-05 1.8366111733102343927e-05 5.6724830690671937243e-05
1 6.279357338338537476e-05 0.26903533797156758967 0.26824758906189449803 0.53734572060684548944
1.5 0.61151398481458452139 1.2425132910237206563 0.9344839347190744272 2.7885112105573806041
2 2.1484774134346733554 2.9854855890503682048 1.9069562697435995524 7.0409192722286411126
2.5 4.383852249553834568 5.3509634301911548349 3.5024404503889234874 13.237256130133914667
3 8.3167846721435463309 8.275056486361853203 3.6723350533091383419 20.264176211814543649
3.5 14.583610259055046043 11.725952396396190025 4.8797676104461613633 31.189330265897396544
4 22.762798831606925631 15.686191383493381934 7.2141535324652910077 45.663143747565577257
4.5 32.611995344849248113 20.145338542801379589 7.6973492877666984668 60.454683175417351038
5 27.40729585556386283 16.933406365542349903 6.4686320390258629232 50.80933426013206855
5.5 23.356167928600029882 14.433201926682642124 5.5124647128755723813 43.301834568158234617
6 20.141150536954761208 12.44886126236774615 4.7539666112459890712 37.343978410568482218
6.5 17.547056367158251788 10.847573481693226327 4.1423143214614270846 32.536944170312914082
7 15.423776630164393708 9.5367615704754040706 5.4912789921183176034 30.451817192758124264
7.5 13.664028422355118053 8.4502372222174368943 8.2521402510849846124 30.366405895657543113
8 12.189472946202108972 7.5397028156377992048 12.22537100586914427 31.95454676770905067
8.5 10.94183256139506355 6.7692451690257664509 17.262153547223846317 34.973231277644700299
9 10.744064224101530058 6.1116423144164562231 25.039895944166346453 41.895602482684346057
9.5 11.225022622325560917 5.9879816323281644941 34.711632501416175955 51.92463675606988005
10 10.231323259275466597 5.4595148709240914897 31.636070658742962536 47.326908788942510853
10.5 9.3645414372467215003 4.9986907646870593069 28.952672180318188566 43.315904382251964932
11 8.6038893194096832673 5.035121283197335984 26.597279601948166317 40.236290204555189121
11.5 7.9326074785750204654 5.9288556791239379606 24.518503534019632895 38.379966691718607308
12 6.4008253185248777939 7.5872189327859258512 22.674550326965935199 36.662594578276717527
12.5 5.9028118642815083916 9.9342818271851776046 21.031343138636131584 36.86843683010282291
13 6.327711088512312898 12.907333842267172841 19.560688995488455078 38.795733926267935487
13.5 7.583411988132983339 16.454267842792237531 18.239298161623278105 42.276977992548509633
14 7.5421529577992680871 20.53142448290497768 17.330082948143708421 45.403660388847960405
