#$(time) $(c_WaterMSD[1]) $(c_WaterMSD[2]) $(c_WaterMSD[3]) $(c_WaterMSD[4])
0 8.610528349833339531e-31 7.455457473636185168e-31 6.09037371085772826e-31 2.2156359534327254711e-30
50 0.031930837534661513089 0.033878014852775494015 0.032145953912107894102 0.097954806299544908144
100 0.072471821488218041152 0.062552858092061833228 0.058769454477330645981 0.19379413405761050648
150 0.11377398054740657518 0.10034231535424487092 0.093529220602709420285 0.30764551650436078312
200 0.14130891125905692407 0.11825742870321512279 0.1226700334791014646 0.38223637344137351146
250 0.15251130634411655396 0.13777464209789333505 0.14611655208564680586 0.43640250052765672262
300 0.16753799534760077661 0.14658781347451119159 0.16506462770339569435 0.4791904365255076903
350 0.17512870737854782655 0.16160333758952408201 0.17948925015835670571 0.51622129512642866978
400 0.19430191107668165484 0.19022869125071231733 0.18359858922259100766 0.56812919154998497984
450 0.19483833173671941119 0.21168020201941364911 0.19099595100909602663 0.59751448476522905917
500 0.20599148081644425012 0.22961841571005262019 0.20723594706823758593 0.64284584359473451176
550 0.20746665353017301747 0.244669268683911173 0.23143159247352024233 0.68356751468760434953
600 0.22539320289301026379 0.25774992628731918654 0.24456982150503589479 0.72771295068536545614
650 0.24201194409724563483 0.26214049575764536426 0.26852716722829822471 0.77267960708318927932
700 0.2567815578750094474 0.26651299481693813131 0.29453966144373727731 0.81783421413568480052
750 0.27763047302570004193 0.27453423538205140586 0.30912703337249458624 0.86129174178024592301
800 0.3204842624937143114 0.2876885855927454605 0.33230599830374329962 0.94047884639020307151
850 0.3527313006352981728 0.28830100307232725543 0.32136476505244210289 0.9623970687600674756
900 0.4011827184611191921 0.31223889187997977412 0.34324997165230536345 1.0566715819934044962
950 0.40855514170008955244 0.34954779727186580107 0.34703214169990359572 1.1051350806718589492
1000 0.43580856605927553726 0.36575032453150774225 0.37962704674908909208 1.1811859373398723161
1050 0.48266270858863635773 0.41533281368203650574 0.43168151463334519802 1.3296770369040182835
1100 0.50655096080540606973 0.4573262358572013353 0.47621207540581239614 1.4400892720684197457
1150 0.51753085071180082721 0.49597164862498821503 0.50639587506982941534 1.5198983744066183466
1200 0.51866333418011545398 0.5169898163200089547 0.51826180497303764305 1.5539149554731619407
1250 0.53213359950381067254 0.54047785939177750425 0.54301814724448316252 1.6156296061400714503
1300 0.56726402890137761492 0.53857775739411628546 0.58353922881546593793 1.6893810151109598383
1350 0.59873714231727259705 0.53752138053961440178 0.58428594402984157519 1.720544466886728685
1400 0.60514835842676595323 0.55098119087074692857 0.60945073137965488641 1.7655802806771678792
1450 0.65509734981433476175 0.56204099517994432489 0.64971340879702776938 1.866851753791306967
1500 0.68387430733407683636 0.58527481652251256428 0.68429387773204197742 1.9534430015886314891
1550 0.69534039139374403948 0.60289152789158140244 0.71373230958057143347 2.0119642288658972085
1600 0.71242828701119442769 0.64552560701863570536 0.73274675755437823632 2.0907006515842088135
1650 0.76212932287635060113 0.67538456647049971426 0.75788993558121153793 2.1954038249280620754
1700 0.81236154034356111708 0.72721801810602548777 0.79460724281901873312 2.33418680126860556
1750 0.82687276796310438254 0.79528069073006091294 0.80466943551508118837 2.426822894208247039
1800 0.86690125175226029342 0.81150392995387854445 0.80875821728376062758 2.4871633989898991324
1850 0.87542564255076404933 0.84868787883802887517 0.83168540663500667431 2.5557989280237998209
1900 0.89690154684714107347 0.83926082226435894107 0.81793158145595412645 2.55409395056745403
1950 0.86948591104448902378 0.85276314263189678666 0.79475445546056366908 2.5170035091369493685
2000 0.81658650260642773322 0.84847925074074637131 0.79105084606377884526 2.4561165994109526167
2050 0.83738108683649714603 0.89256155091438638127 0.78812381506597040115 2.5180664528168539285
2100 0.86325300670570637163 0.87115768105000812582 0.75474501048752884458 2.4891556982432438971
2150 0.90740468687828068628 0.8627106778455557734 0.76096968323672786738 2.5310850479605644381
2200 0.88640146848964573856 0.83548508733922766112 0.78988072704349876485 2.5117672828723724976
2250 0.87810901222749815354 0.84807514761627633693 0.76713327277406817561 2.4933174326178426661
2300 0.82895836791193822091 0.83640488773124987976 0.76679190195869639801 2.4321551576018847207
2350 0.86070095994963224939 0.83349983311909503492 0.7707205430018967407 2.464921336070624136
2400 0.86994903887380958807 0.8342796513343668785 0.77030503460814914174 2.4745337248163257193
