#$(time) $(c_NaMSD[1]) $(c_NaMSD[2]) $(c_NaMSD[3]) $(c_NaMSD[4])
0 12.997696837754769916 14.528331938312021521 15.098519702571593371 42.624548478638381255
50 9.5349572643948246053 9.386499250450253129 10.822654607368830781 29.744111122213904963
100 8.714446342478955998 9.2329709542159221769 8.8681131658194445322 26.815530462514328036
150 7.59699001145325159 7.8136043459577804171 8.7816867321620168951 24.192281089573050679
200 7.1957644844042505383 7.5158774613597474357 7.7436616230780579428 22.455303568842058581
250 7.0736584054233784258 7.5859303638915118739 8.6182667450133152443 23.277855514328205544
300 8.4713570058947702535 7.9125580039996332715 8.1201709005494269178 24.504085910443830443
350 7.7932779234392333123 5.9553932562175075915 8.6049259523508450087 22.353597132007585913
400 6.5006385476502304144 5.9131114002999742851 8.2256092433914691497 20.639359191341672073
450 8.6366583346664747012 6.1600074590503233196 7.8822314741246755077 22.678897267841477969
500 8.1599129207640661576 5.6836058106954343572 8.9537776057632729731 22.797296337222775264
550 7.8078170431320694789 7.1201360474066008877 8.6584436570828220425 23.586396747621492409
600 7.3276424767737289301 7.3537731299801754048 7.8014237112096926907 22.482839317963598802
650 7.9703591070785098083 7.7954527356041447561 8.3594845963578290338 24.125296439040486263
700 8.7609877678195253736 6.5433570021503042469 7.9015378816083066127 23.20588265157813268
750 8.5315982048006180349 7.3656310391876562704 7.8613955921243654501 23.758624836112637979
800 10.420884566991478692 7.148374508867837207 8.1131179392041286036 25.682377015063444503
850 8.5192169492200822134 7.8783930943350251042 10.044414276154439492 26.442024319709549474
900 8.5912515006556784414 7.0112643415122093415 11.18741373065681266 26.789929572824693338
950 8.117833400837204394 7.4603786217358658561 11.935790670415224568 27.514002692988299259
1000 8.6350920064865732684 7.0275322043325685328 13.476302642019474476 29.138926852838615389
1050 8.7350682300068669406 7.6059607123985433219 12.941754903505044538 29.282783845910454801
1100 8.6515992115495308212 7.1968343241387700004 13.87374949925078127 29.722183034939082091
1150 8.7752087318004949879 7.8056790296803955087 14.849575829410341044 31.430463590891235981
1200 8.0594530993993185319 8.1556191499528036815 14.263181915211287532 30.478254164563402639
1250 8.0344184771107016729 8.5215132159036226511 13.426791097313815371 29.982722790328136142
1300 6.5694591082205224808 8.9442946628569170997 12.998135179289329599 28.511888950366770956
1350 6.8533345816534856354 7.2002603240550930863 12.198385908729440175 26.251980814438020673
1400 7.2893235314716706696 8.3070356529767774845 12.419667143347425053 28.016026327795874096
1450 8.5440078264465437741 6.9690297784865018471 11.981250175984996531 27.49428778091804304
1500 9.4719497433787136487 6.7205064943650709708 12.332115613518308095 28.524571851262091826
1550 10.663848941684831217 8.4538410865467685795 12.841034186223419411 31.958724214455020984
1600 9.9485539581994171243 8.7519790737226799138 13.678114217489676818 32.378647249411770304
1650 9.5865753172142653682 10.242834118194899418 11.870594566816599524 31.700004002225757205
1700 8.739198981420271295 10.598571274406447529 11.611249000095652306 30.949019255922362248
1750 9.0902235748650337399 11.640473146163692775 11.22544178744539245 31.956138508474115412
1800 8.4531011305585757043 11.298549904295940749 10.615629466343762033 30.367280501198280263
1850 9.451647998552187957 12.253271676566825477 9.6517067353277923303 31.356626410446803987
1900 8.9906875772445431494 12.351279689984172805 9.2953604009280876852 30.637327668156803639
1950 10.760289092449129456 13.073617707071109706 10.106013586290419681 33.939920385810651737
2000 12.597639705917741182 11.0420725845511285 10.880975591217810106 34.52068788168668334
2050 12.66922919410897741 13.191986746542440301 10.83943786777529894 36.70065380842672198
2100 14.277297387376558291 12.641518992234603402 10.102468815696138194 37.021285195307292781
2150 13.260643201841681105 12.386381626807882128 10.549197442189226948 36.196222270838781299
2200 13.365984029978783099 12.153377630724135017 11.598517698252196695 37.117879358955121916
2250 12.801318569303754558 11.027498592124462817 11.317862637578018692 35.146679799006228961
2300 12.075069653209608234 10.644599303692663383 9.5593104009248293096 32.278979357827097374
2350 11.757693717166187497 11.2533721975608767 9.6296543967785339646 32.64072031150560349
2400 13.290788458405813799 12.400252592100413196 11.663836269170898774 37.354877319677129321
2450 14.483933536901481887 11.706718718475146446 12.438519425959931652 38.629171681336565314
2500 13.825026937779629321 13.157888520074310534 12.670423446935814127 39.653338904789755759
2550 14.405138654782174257 12.480153137937310959 12.09283571703222826 38.978127509751708146
2600 14.698617002565287137 12.820489519249951726 11.045486362496712118 38.5645928843119421
2650 12.881443401226595924 12.764726619810241814 11.602219355268127643 37.24838937630497071
2700 11.480364724319993996 11.624039519918669683 13.464889153071116112 36.569293397309778015
2750 13.506410913659177453 11.61978148495183838 14.154706985738142677 39.280899384349154957
2800 12.705131120868399464 11.324426298821878234 13.529736441136279268 37.559293860826564071
2850 13.914356486584939177 10.863936794708955347 13.472393069998846116 38.25068635129273531
2900 14.291686948659089396 10.89896257842837457 13.336843505905600082 38.527493032993064048
2950 13.48519261756533183 10.283826288721906295 13.725683392416614836 37.494702298703856513
3000 14.782224312851074188 10.584400689150546881 13.289877598418716076 38.656502600420331817
3050 14.479420101796268483 11.262879728896313836 13.494528071546877612 39.236827902239454602
3100 15.239938350850932736 10.883666673002675651 12.475397635699902565 38.599002659553512729
3150 14.418316859863880453 10.44213230231157219 13.125027021845916408 37.985476184021372603
3200 15.428065939746572255 10.551016001456767768 13.20857493140811556 39.187656872611448478
3250 14.913131084433631557 10.176830514586063359 14.923439267422333288 40.013400866442019321
3300 13.991323760386725539 10.842139205280474812 13.789692021177124559 38.623154986844319581
3350 13.8272178724495447 11.377929475596387121 14.965625351912891006 40.170772699958824603
3400 14.091646891478040615 11.883379213501829241 14.143885264007327152 40.118911368987191679
3450 13.813478915390222213 10.776686136094326685 13.884347474832475555 38.474512526317028005
3500 13.049964786817477957 12.71291838391212714 14.691293504160713113 40.454176674890312881
3550 12.491625482087165722 12.564928560512848676 12.981541470745131761 38.038095513345147936
3600 13.047222616022718711 12.079035115151468105 13.064776847741345733 38.191034578915534325
3650 13.122619616014842947 13.54020900316691467 12.793939659780111384 39.45676827896187433
3700 14.132999625873734928 13.529001144508121968 13.908335242532746889 41.570336012914602009
3750 14.178962079563415699 13.873006088608736519 15.611278334687549219 43.66324650285969966
3800 12.903650488024696941 12.828703233184850063 15.476871246740923738 41.20922496795046186
3850 13.130716382318889046 13.546765821767923654 16.379165704303680684 43.056647908390502266
3900 13.793807087743548578 13.731686815860509654 16.60731152542805944 44.132805429032124778
3950 14.262736794509958571 13.690143005189314707 16.463841208195788113 44.416721007895063167
4000 13.281616741975243556 13.214427934256629982 15.738006018085517468 42.234050694317382124
4050 13.399744227608008984 14.093245770500631764 16.374859805384808453 43.867849803493442096
4100 13.124615784131067997 14.814799417430338124 18.170071538844915437 46.109486740406325112
4150 11.642781997629684909 16.28041927440785841 16.886440866496151614 44.809642138533689604
4200 9.9968862990540472424 16.561994373390405144 17.373726916261524877 43.932607588705984369
4250 11.035720483464549702 17.252542399798151962 16.0476081256219274 44.335871008884623734
4300 11.977703235612152 17.351626996782012924 17.955110675537234499 47.284440907931404752
4350 11.443685465537495105 17.276292660474712903 17.803364642442932819 46.52334276845513017
4400 12.204897118671400591 16.140638655251642319 17.514091576149944274 45.859627350072990737
4450 13.541776629785092112 15.714438470219356248 17.077938940624807884 46.33415404062925802
4500 14.641722379768655316 15.268208944570753616 16.420894604830188257 46.330825929169591859
4550 15.299393112480688117 14.842071343688205687 16.624192219838288764 46.765656676007196779
4600 16.033208067984357825 15.628966557717596686 15.501089732334488502 47.163264358036443014
4650 15.361636074484911418 14.989546336606382582 15.389131328920964137 45.740313740012254584
4700 15.179450436677472069 14.042147194404760668 16.729039079693531988 45.950636710775768279
4750 16.73049657326237849 15.173188400461004477 16.376034537505375965 48.279719511228762485
4800 17.212926790887774331 14.821191176644546772 17.890802946923084704 49.924920914455420018
4850 17.796400913828289703 14.395413549531145492 17.88105907324885635 50.072873536608291545
4900 17.895178720425231944 15.569981251929959853 17.531002254133337459 50.996162226488529257
4950 15.83901160977463185 15.331338362237772799 18.023859170575406097 49.194209142587816075
5000 15.594098479332796359 15.495773008121249248 17.426334827418603624 48.516206314872647454
5050 15.299249133309757553 13.857130925598669435 16.836627326707365171 45.993007385615790383
5100 16.683003968196537414 14.200040399610060149 17.351615874842327258 48.234660242648921269
5150 18.322780612841651049 14.508303126013114337 16.800509421237514118 49.631593160092265293
5200 17.778805677700255217 15.383680243384048936 15.701153735366784048 48.863639656451091753
5250 17.790589471170971336 14.249889882553459231 14.812583945200515245 46.853063298924958247
5300 19.608424798842133185 13.956189614934213949 15.322061096448312156 48.886675510224655739
5350 18.128706857858908563 12.960921184256255501 14.908562585264999001 45.998190627380147077
5400 19.668915570013361105 12.161395796664745461 14.828066530200686657 46.65837789687878967
5450 19.466730353145564436 13.340777247898110147 15.280859661637025582 48.088367262680712599
5500 19.427734168755705468 12.713005128698842583 14.895039603831566666 47.035778901286107612
5550 20.066310947983552637 12.781066043353625616 14.564659787706059291 47.412036779043248202
5600 19.72544229949475536 12.660442564832120382 14.254120956079793459 46.640005820406670978
5650 20.031719787695656976 12.451449590618659968 15.080156991813918665 47.563326370128244491
5700 18.86241617057260811 12.040637605875080141 15.165065402350435875 46.068119178798120572
5750 18.789289556169315176 13.575623750130739964 15.436099336126241965 47.801012642426286448
